Experiment,Vertexes,Density,Time(mcs)
393,200,0.5,427285.19
394,200,0.5,412599.09
395,200,0.5,414900.3
396,200,0.5,421772.48
397,200,0.5,476209.64
398,200,0.5,406791.93
399,200,0.5,415733.58
400,200,0.5,415603.4
401,20,0.7,406.27
402,20,0.7,413.42
403,20,0.7,462.77
404,20,0.7,509.26
405,20,0.7,473.98
406,20,0.7,418.42
407,20,0.7,479.94
408,20,0.7,477.55
409,20,0.7,481.84
410,20,0.7,478.27
411,20,0.7,436.31
412,20,0.7,475.41
413,20,0.7,449.9
414,20,0.7,465.15
415,20,0.7,449.66
416,20,0.7,455.38
417,20,0.7,409.36
418,20,0.7,417.23
419,20,0.7,407.22
420,20,0.7,440.84
421,40,0.7,3386.74
422,40,0.7,3364.56
423,40,0.7,3402.71
424,40,0.7,3349.3
425,40,0.7,3130.67
426,40,0.7,3397.7
427,40,0.7,3169.78
428,40,0.7,3222.94
429,40,0.7,3149.99
430,40,0.7,3281.35
431,40,0.7,3326.89
432,40,0.7,3569.84
433,40,0.7,3260.14
434,40,0.7,3332.14
435,40,0.7,3279.92
436,40,0.7,3570.56
437,40,0.7,3144.26
438,40,0.7,3359.79
439,40,0.7,3445.86
440,40,0.7,3512.86
441,60,0.7,11263.85
442,60,0.7,11844.87
443,60,0.7,11336.57
444,60,0.7,11353.73
445,60,0.7,10864.5
446,60,0.7,10643.96
447,60,0.7,10483.98
448,60,0.7,11073.35
449,60,0.7,11784.08
450,60,0.7,11782.41
451,60,0.7,10426.76
452,60,0.7,10946.04
453,60,0.7,10439.4
454,60,0.7,10483.74
455,60,0.7,11137.72
456,60,0.7,11557.1
457,60,0.7,11600.26
458,60,0.7,11331.32
459,60,0.7,11189.22
460,60,0.7,11753.56
461,80,0.7,27350.19
462,80,0.7,27112.72
463,80,0.7,25442.84
464,80,0.7,25514.13
465,80,0.7,25028.94
466,80,0.7,27926.21
467,80,0.7,28008.46
468,80,0.7,25374.65
469,80,0.7,26375.29
470,80,0.7,25384.9
471,80,0.7,27187.82
472,80,0.7,25783.54
473,80,0.7,26139.26
474,80,0.7,26728.87
475,80,0.7,27276.99
476,80,0.7,26846.89
477,80,0.7,27463.2
478,80,0.7,27410.75
479,80,0.7,26165.49
480,80,0.7,26227.0
